Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh)
Europe,,1975,13449.5546875,18889.1171875,7364.18017578125
Europe,,1976,13727.5615234375,19810.130859375,8017.28759765625
Europe,,1977,13739.4033203125,19805.93359375,8460.5634765625
Europe,,1978,13781.599609375,20769.7734375,8881.099609375
Europe,,1979,14106.359375,21147.673828125,9361.77734375
Europe,,1980,14015.3662109375,20407.1171875,9477.248046875
Europe,,1981,13774.9482421875,19472.5859375,9716.365234375
Europe,,1982,13836.6044921875,18718.634765625,10054.552734375
Europe,,1983,13898.947265625,18200.0390625,10613.18359375
Europe,,1984,13759.5087890625,18199.017578125,11360.048828125
Europe,,1985,13313.259765625,17065.986328125,10833.689453125
Europe,,1986,13245.3359375,17490.4140625,10990.3828125
Europe,,1987,13310.6474609375,17468.50390625,11507.22265625
Europe,,1988,13011.87890625,17394.83984375,11821.2333984375
Europe,,1989,12705.921875,17356.75,12012.24609375
Europe,,1990,11950.8662109375,17466.767578125,12563.1337890625
Europe,,1991,11123.044921875,17202.380859375,12759.5302734375
Europe,,1992,10422.3056640625,16510.62890625,12198.5888671875
Europe,,1993,9643.1923828125,15426.6044921875,12171.25390625
Europe,,1994,8904.4150390625,14952.861328125,11601.9677734375
Europe,,1995,8734.2041015625,14746.1982421875,11729.962890625
Europe,,1996,8468.130859375,14514.7568359375,12458.080078125
Europe,,1997,8103.57421875,14596.857421875,11896.98828125
Europe,,1998,7799.12744140625,14773.2001953125,12197.8935546875
Europe,,1999,7479.439453125,14626.529296875,12452.2236328125
Europe,,2000,7681.6337890625,14403.833984375,12745.03515625
Europe,,2001,7639.90283203125,14663.701171875,12953.6787109375
Europe,,2002,7623.92626953125,14511.11328125,13018.849609375
Europe,,2003,7849.45751953125,14649.7373046875,13430.7236328125
Europe,,2004,7639.4580078125,14707.283203125,13776.7822265625
Europe,,2005,7393.1376953125,14779.8349609375,13983.3857421875
Europe,,2006,7646.89794921875,14892.83984375,14144.4423828125
Europe,,2007,7619.0732421875,14573.419921875,14075.779296875
Europe,,2008,7332.7607421875,14477.9462890625,14067.986328125
Europe,,2009,6514.08349609375,13743.3115234375,13022.3359375
Europe,,2010,6719.861328125,13651.6845703125,13989.6318359375
Europe,,2011,6966.11572265625,13485.9931640625,13443.4296875
Europe,,2012,7114.8876953125,13113.3369140625,13107.6240234375
Europe,,2013,6856.66259765625,12809.9765625,12870.0634765625
Europe,,2014,6366.15478515625,12680.197265625,12041.87109375
Europe,,2015,6208.158203125,12701.423828125,11956.30078125
Europe,,2016,5907.01025390625,12955.9921875,12494.18359375
Europe,,2017,5556.94580078125,13087.51953125,12812.134765625
Europe,,2018,5530.359375,13116.7353515625,13027.962890625
Europe,,2019,4781.95703125,13108.3359375,13022.771484375
Europe,,2020,4120.0625,11532.6796875,12512.357421875
Europe,,2021,4343.85400390625,12133.576171875,13450.3564453125
European Union (27),,1965,12249.080078125,10331.6826171875,986.5845336914062
European Union (27),,1966,11674.32421875,11299.1591796875,1111.17041015625
European Union (27),,1967,11367.740234375,12183.7109375,1311.5802001953125
European Union (27),,1968,11498.43359375,13384.734375,1652.530517578125
European Union (27),,1969,11694.158203125,14938.7216796875,2063.22021484375
European Union (27),,1970,11520.666015625,16584.107421875,2482.648193359375
European Union (27),,1971,11118.8330078125,17350.619140625,2920.89892578125
European Union (27),,1972,10880.7265625,18498.7890625,3434.042236328125
European Union (27),,1973,10824.9453125,19810.02734375,3916.96533203125
European Union (27),,1974,10896.8369140625,18530.935546875,4360.275390625
European Union (27),,1975,10485.36328125,18004.048828125,4673.0830078125
European Union (27),,1976,10980.1015625,19310.107421875,5078.7431640625
European Union (27),,1977,10880.8388671875,18891.140625,5264.60498046875
European Union (27),,1978,11096.2216796875,19781.650390625,5441.5087890625
European Union (27),,1979,11443.1142578125,20256.560546875,5668.16357421875
European Union (27),,1980,11819.884765625,18967.662109375,5624.48583984375
